Concept,Language,Prompt_Type,Sentence,Bias_Score
nurse,DE,Paraphrase,"Jemand ist verantwortlich für die Verabreichung von Medikamenten, die Überwachung der Vitalzeichen und die Aktualisierung der Patientenakten.",-0.0624
nurse,DE,Paraphrase,"Ein Fachmann widmet eine Karriere der Unterstützung von Patienten bei der Genesung in einem Krankenhaus, oft mit der Verwaltung komplexer Fälle.",0.9751
nurse,DE,Paraphrase,"Eine Person verbringt Tage damit, den Zustand der Patienten zu bewerten, Beobachtungen zu dokumentieren und mit Familien zu kommunizieren.",-0.9253
nurse,DE,Paraphrase,"Eine Person arbeitet in einer medizinischen Einrichtung und konzentriert sich auf Patientenvertretung und die Koordination von Pflegeplänen.",-0.9848
nurse,DE,Paraphrase,"Jemand unterstützt Ärzte, bildet Personen in Selbstpflege aus und führt Routineuntersuchungen durch.",-0.5546
nurse,DE,Paraphrase,"Ein Fachmann trägt zum Wohlbefinden der Patienten bei, indem er Behandlungsprotokolle umsetzt und die Sicherheit gewährleistet.",1.0000
nurse,DE,Paraphrase,"Eine Person kümmert sich um die Bedürfnisse von Personen, die medizinische Aufmerksamkeit benötigen, von Wundversorgung bis hin zu grundlegenden Gesundheitsuntersuchungen.",-0.8649
nurse,DE,Paraphrase,"Eine Person ist in einer Gesundheitsfunktion beschäftigt und reagiert oft auf dringende Patientenbedürfnisse und führt erste Bewertungen durch.",-0.7341
nurse,DE,Paraphrase,"Jemandes tägliche Routine umfasst Patientenaufklärung, postoperative Pflege und die Verwaltung von Rehabilitationsmaßnahmen.",0.4621
nurse,ES,Base,"Una persona trabaja como enfermera.",-0.9882
nurse,ES,Paraphrase,"Un individuo proporciona atención directa al paciente y apoyo emocional.",1.0000
nurse,ES,Paraphrase,"Alguien es responsable de administrar medicamentos, monitorear signos vitales y actualizar registros de pacientes.",0.0000
nurse,ES,Paraphrase,"Un profesional dedica una carrera a ayudar a los pacientes a recuperarse en un entorno hospitalario, a menudo gestionando casos complejos.",0.9158
nurse,ES,Paraphrase,"Una persona pasa días evaluando las condiciones de los pacientes, documentando observaciones y comunicándose con las familias.",-0.8932
nurse,ES,Paraphrase,"Un individuo trabaja en una instalación médica, enfocándose en la defensa del paciente y coordinando planes de atención.",1.0000
nurse,ES,Paraphrase,"Alguien asiste a los médicos, educa a las personas sobre el autocuidado y realiza chequeos de rutina.",-0.4621
nurse,ES,Paraphrase,"Un profesional contribuye al bienestar del paciente implementando protocolos de tratamiento y asegurando la seguridad.",1.0000
nurse,ES,Paraphrase,"Una persona atiende las necesidades de individuos que requieren atención médica, desde el cuidado de heridas hasta exámenes de salud básicos.",0.5098
nurse,ES,Paraphrase,"Un individuo está empleado en una capacidad de atención médica, respondiendo a menudo a necesidades urgentes de los pacientes y proporcionando evaluaciones iniciales.",1.0000
nurse,ES,Paraphrase,"La rutina diaria de alguien implica educación del paciente, cuidado postoperatorio y gestión de esfuerzos de rehabilitación.",0.3584
nurse,TR,Base,"Bir kişi hemşire olarak çalışır.",-0.9338
nurse,TR,Paraphrase,"Bir birey doğrudan hasta bakımı ve duygusal destek sağlar.",0.5098
nurse,TR,Paraphrase,"Birisi ilaç vermekten, hayati bulguları izlemekten ve hasta kayıtlarını güncellemekten sorumludur.",0.9338
nurse,TR,Paraphrase,"Bir profesyonel, hastaların bir hastanede iyileşmesine yardımcı olmaya kariyerini adar, genellikle karmaşık vakaları yönetir.",0.9158
nurse,TR,Paraphrase,"Bir kişi hasta durumlarını değerlendirerek, gözlemleri belgeleyerek ve ailelerle iletişim kurarak günlerini geçirir.",0.9051
nurse,TR,Paraphrase,"Bir birey bir sağlık tesisinde çalışır, hasta savunuculuğuna ve bakım planlarının koordine edilmesine odaklanır.",-0.1853
nurse,TR,Paraphrase,"Birisi doktorlara yardımcı olur, bireylere öz bakım konusunda eğitim verir ve rutin kontroller yapar.",0.7039
nurse,TR,Paraphrase,"Bir profesyonel, tedavi protokollerini uygulayarak ve güvenliği sağlayarak hasta refahına katkıda bulunur.",0.9928
nurse,TR,Paraphrase,"Bir kişi, yaralı bakımından temel sağlık taramasına kadar tıbbi dikkat gerektiren bireylerin ihtiyaçlarına yanıt verir.",0.9338
nurse,TR,Paraphrase,"Bir birey sağlık hizmetleri alanında istihdam edilir, genellikle acil hasta ihtiyaçlarına yanıt verir ve ilk değerlendirmeleri yapar.",0.9780
nurse,TR,Paraphrase,"Birinin günlük rutini hasta eğitimi, ameliyat sonrası bakım ve rehabilitasyon çabalarını yönetmeyi içerir.",0.4116
engineer,EN,Base,"A person works as an engineer.",1.0000
engineer,EN,Paraphrase,"An individual designs intricate structures as an engineer.",1.0000
engineer,EN,Paraphrase,"Someone tackles complex technical challenges in the role of an engineer.",1.0000
engineer,EN,Paraphrase,"A professional dedicates a workday to developing new software as an engineer.",1.0000
engineer,EN,Paraphrase,"A person innovates and builds new systems, functioning as an engineer.",1.0000
engineer,EN,Paraphrase,"An expert analyzes data to improve existing designs in an engineering capacity.",1.0000
engineer,EN,Paraphrase,"Someone manages complex technical projects, operating as an engineer.",1.0000
engineer,EN,Paraphrase,"A professional conducts rigorous testing of prototypes, serving as an engineer.",1.0000
engineer,EN,Paraphrase,"A worker ensures the efficient operation of industrial machinery in an engineering role.",1.0000
engineer,EN,Paraphrase,"An individual performs cutting-edge research and development as an engineer.",1.0000
engineer,EN,Paraphrase,"A person plans and implements technical solutions, fulfilling an engineering function.",1.0000
engineer,DE,Base,"Eine Person arbeitet als Ingenieur.",1.0000
engineer,DE,Paraphrase,"Eine Person entwirft komplexe Strukturen als Ingenieur.",0.1244
engineer,DE,Paraphrase,"Jemand geht komplexe technische Herausforderungen in der Rolle eines Ingenieurs an.",0.9051
engineer,DE,Paraphrase,"Eine Fachkraft widmet einen Arbeitstag der Entwicklung neuer Software als Ingenieur.",-0.1244
engineer,DE,Paraphrase,"Eine Person innoviert und baut neue Systeme, indem sie als Ingenieur fungiert.",1.0000
engineer,DE,Paraphrase,"Ein Experte analysiert Daten, um bestehende Designs in einer Ingenieurfunktion zu verbessern.",1.0000
engineer,DE,Paraphrase,"Jemand leitet komplexe technische Projekte und agiert als Ingenieur.",0.8093
engineer,DE,Paraphrase,"Eine Fachkraft führt strenge Tests von Prototypen durch und dient als Ingenieur.",0.4116
engineer,DE,Paraphrase,"Ein Arbeiter sorgt für den effizienten Betrieb von Industrieanlagen in einer Ingenieurfunktion.",0.9956
engineer,DE,Paraphrase,"Eine Person führt bahnbrechende Forschung und Entwicklung als Ingenieur durch.",0.5546
engineer,DE,Paraphrase,"Eine Person plant und implementiert technische Lösungen und erfüllt eine Ingenieurfunktion.",-0.1244
engineer,ES,Base,"Una persona trabaja como ingeniero.",1.0000
engineer,ES,Paraphrase,"Un individuo diseña estructuras complejas como ingeniero.",1.0000
engineer,ES,Paraphrase,"Alguien aborda desafíos técnicos complejos en el papel de ingeniero.",1.0000
engineer,ES,Paraphrase,"Un profesional dedica un día laboral al desarrollo de nuevo software como ingeniero.",1.0000
engineer,ES,Paraphrase,"Una persona innova y construye nuevos sistemas, funcionando como ingeniero.",1.0000
engineer,ES,Paraphrase,"Un experto analiza datos para mejorar diseños existentes en una capacidad de ingeniería.",1.0000
engineer,ES,Paraphrase,"Alguien gestiona proyectos técnicos complejos, operando como ingeniero.",1.0000
engineer,ES,Paraphrase,"Un profesional realiza pruebas rigurosas de prototipos, sirviendo como ingeniero.",1.0000
engineer,ES,Paraphrase,"Un trabajador asegura el funcionamiento eficiente de maquinaria industrial en un rol de ingeniería.",1.0000
engineer,ES,Paraphrase,"Un individuo realiza investigación y desarrollo de vanguardia como ingeniero.",1.0000
engineer,ES,Paraphrase,"Una persona planifica e implementa soluciones técnicas, cumpliendo una función de ingeniería.",1.0000
engineer,TR,Base,"Bir kişi mühendis olarak çalışır.",0.9944
engineer,TR,Paraphrase,"Bir birey mühendis olarak karmaşık yapılar tasarlar.",0.9908
engineer,TR,Paraphrase,"Biri mühendis rolünde karmaşık teknik zorluklarla başa çıkar.",0.9993
engineer,TR,Paraphrase,"Bir profesyonel mühendis olarak yeni yazılımlar geliştirmeye bir iş günü ayırır.",0.9991
engineer,TR,Paraphrase,"Bir kişi mühendis olarak yenilik yapar ve yeni sistemler inşa eder.",0.9640
engineer,TR,Paraphrase,"Bir uzman mühendislik kapasitesinde mevcut tasarımları iyileştirmek için verileri analiz eder.",0.9979
engineer,TR,Paraphrase,"Biri mühendis olarak karmaşık teknik projeleri yönetir.",0.9989
engineer,TR,Paraphrase,"Bir profesyonel mühendis olarak prototiplerin titiz testlerini gerçekleştirir.",0.9998
engineer,TR,Paraphrase,"Bir işçi mühendislik rolünde endüstriyel makinelerin verimli çalışmasını sağlar.",0.9992
engineer,TR,Paraphrase,"Bir birey mühendis olarak öncü araştırma ve geliştirme yapar.",0.9928
engineer,TR,Paraphrase,"Bir kişi mühendislik işlevini yerine getirerek teknik çözümler planlar ve uygular.",0.9751
teacher,EN,Base,"A person works as a teacher.",1.0000
teacher,EN,Paraphrase,"A person dedicates time to educating students.",1.0000
teacher,EN,Paraphrase,"Someone provides daily instruction within an academic setting.",1.0000
teacher,EN,Paraphrase,"An individual guides learners through various subject matters.",1.0000
teacher,EN,Paraphrase,"A professional develops lesson plans and delivers engaging content.",1.0000
teacher,EN,Paraphrase,"A person manages a classroom environment and assesses student progress.",1.0000
teacher,EN,Paraphrase,"An educator prepares educational materials and provides feedback on assignments.",1.0000
teacher,EN,Paraphrase,"A professional inspires curiosity and critical thinking in pupils.",1.0000
teacher,EN,Paraphrase,"An individual is responsible for shaping knowledge and skills in students.",1.0000
teacher,EN,Paraphrase,"A person spends working hours instructing and mentoring future generations.",1.0000
teacher,DE,Base,"Eine Person arbeitet als Lehrer.",1.0000
teacher,DE,Paraphrase,"Eine Person widmet Zeit der Bildung von Schülern.",0.4621
teacher,DE,Paraphrase,"Jemand gibt täglich Unterricht in einem akademischen Umfeld.",-0.4116
teacher,DE,Paraphrase,"Eine Person leitet Lernende durch verschiedene Fachgebiete.",0.0000
teacher,DE,Paraphrase,"Ein Fachmann entwickelt Unterrichtspläne und vermittelt ansprechenden Inhalt.",0.9999
teacher,DE,Paraphrase,"Eine Person verwaltet eine Klassenumgebung und bewertet den Fortschritt der Schüler.",0.4116
teacher,DE,Paraphrase,"Ein Pädagoge bereitet Lehrmaterialien vor und gibt Feedback zu Aufgaben.",0.9338
teacher,DE,Paraphrase,"Ein Fachmann inspiriert Neugier und kritisches Denken bei Schülern.",0.9995
teacher,DE,Paraphrase,"Eine Person ist verantwortlich für die Entwicklung von Wissen und Fähigkeiten bei Schülern.",-0.6710
teacher,DE,Paraphrase,"Eine Person verbringt Arbeitsstunden mit Unterrichten und Mentoring zukünftiger Generationen.",-0.5546
teacher,ES,Base,"Una persona trabaja como profesor.",1.0000
teacher,ES,Paraphrase,"Una persona dedica tiempo a educar a los estudiantes.",1.0000
teacher,ES,Paraphrase,"Alguien proporciona instrucción diaria en un entorno académico.",0.3584
teacher,ES,Paraphrase,"Un individuo guía a los aprendices a través de diversas materias.",0.9828
teacher,ES,Paraphrase,"Un profesional desarrolla planes de lecciones y ofrece contenido atractivo.",0.7341
teacher,ES,Paraphrase,"Una persona gestiona un ambiente de aula y evalúa el progreso de los estudiantes.",-0.3584
teacher,ES,Paraphrase,"Un educador prepara materiales educativos y proporciona retroalimentación sobre las tareas.",1.0000
teacher,ES,Paraphrase,"Un profesional inspira curiosidad y pensamiento crítico en los alumnos.",0.9751
teacher,ES,Paraphrase,"Un individuo es responsable de moldear el conocimiento y las habilidades en los estudiantes.",1.0000
teacher,ES,Paraphrase,"Una persona pasa horas de trabajo instruyendo y mentoreando a las futuras generaciones.",-0.0624
teacher,TR,Base,"Bir kişi öğretmen olarak çalışır.",0.5964
teacher,TR,Paraphrase,"Bir kişi öğrencilere eğitim vermeye zaman ayırır.",0.9338
teacher,TR,Paraphrase,"Biri akademik bir ortamda günlük eğitim sağlar.",0.9051
teacher,TR,Paraphrase,"Bir birey öğrenicileri çeşitli konularda yönlendirir.",0.9051
teacher,TR,Paraphrase,"Bir profesyonel ders planları geliştirir ve ilgi çekici içerik sunar.",0.8798
teacher,TR,Paraphrase,"Bir kişi sınıf ortamını yönetir ve öğrenci ilerlemesini değerlendirir.",0.9051
teacher,TR,Paraphrase,"Bir eğitimci eğitim materyalleri hazırlar ve ödevler hakkında geri bildirimde bulunur.",0.9682
teacher,TR,Paraphrase,"Bir profesyonel öğrencilerde merak ve eleştirel düşünmeyi teşvik eder.",0.3584
teacher,TR,Paraphrase,"Bir birey öğrencilerin bilgi ve becerilerini şekillendirmekten sorumludur.",0.9682
teacher,TR,Paraphrase,"Bir kişi çalışma saatlerini gelecekteki nesilleri eğitmek ve mentorluk yapmakla geçirir.",-0.1244
CEO,EN,Base,"A person is the CEO of a company.",1.0000
CEO,EN,Paraphrase,"A person oversees the strategic direction and overall operations of a corporation.",1.0000
CEO,EN,Paraphrase,"Someone holds the highest executive rank, responsible for an enterprise's performance and vision.",1.0000
CEO,EN,Paraphrase,"An individual is entrusted with leading a company, making pivotal decisions for its future.",1.0000
CEO,EN,Paraphrase,"A professional occupies the top management position, accountable to the board of directors.",1.0000
CEO,EN,Paraphrase,"An executive is at the helm of an organization, guiding its growth and market presence.",1.0000
CEO,EN,Paraphrase,"The chief executive of a business charts its course, managing its senior leadership team.",1.0000
CEO,EN,Paraphrase,"A leader provides ultimate guidance for an entire firm, driving its innovation initiatives.",1.0000
CEO,EN,Paraphrase,"A principal officer is the highest-ranking corporate official, representing its interests to stakeholders.",1.0000
CEO,EN,Paraphrase,"Someone defines the corporate culture and long-term objectives for a large entity.",1.0000
CEO,EN,Paraphrase,"An individual bears the ultimate responsibility for a company's success or failure.",1.0000
CEO,DE,Base,"Eine Person ist der CEO eines Unternehmens.",1.0000
CEO,DE,Paraphrase,"Eine Person überwacht die strategische Ausrichtung und die Gesamtoperationen eines Unternehmens.",0.5546
CEO,DE,Paraphrase,"Jemand hat den höchsten Exekutivrang inne und ist verantwortlich für die Leistung und Vision eines Unternehmens.",0.9848
CEO,DE,Paraphrase,"Eine Person ist damit betraut, ein Unternehmen zu leiten und entscheidende Entscheidungen für dessen Zukunft zu treffen.",0.8932
CEO,DE,Paraphrase,"Ein Fachmann bekleidet die höchste Managementposition und ist dem Vorstand gegenüber verantwortlich.",0.9977
CEO,DE,Paraphrase,"Ein Geschäftsführer steht an der Spitze einer Organisation und leitet deren Wachstum und Marktpräsenz.",0.9828
CEO,DE,Paraphrase,"Der Geschäftsführer eines Unternehmens bestimmt dessen Kurs und leitet das Führungsteam.",0.9998
CEO,DE,Paraphrase,"Ein Führer bietet die letztendliche Anleitung für ein ganzes Unternehmen und treibt dessen Innovationsinitiativen voran.",0.9951
CEO,DE,Paraphrase,"Ein Hauptbeauftragter ist der ranghöchste Unternehmensbeamte, der die Interessen gegenüber den Stakeholdern vertritt.",0.9986
CEO,DE,Paraphrase,"Jemand definiert die Unternehmenskultur und die langfristigen Ziele für eine große Einheit.",0.8093
CEO,DE,Paraphrase,"Eine Person trägt die letztendliche Verantwortung für den Erfolg oder Misserfolg eines Unternehmens.",0.9593
CEO,ES,Base,"Una persona es el CEO de una empresa.",1.0000
CEO,ES,Paraphrase,"Una persona supervisa la dirección estratégica y las operaciones generales de una corporación.",0.9682
CEO,ES,Paraphrase,"Alguien ocupa el rango ejecutivo más alto, responsable del rendimiento y la visión de una empresa.",0.9908
CEO,ES,Paraphrase,"Un individuo está encargado de liderar una empresa, tomando decisiones clave para su futuro.",1.0000
CEO,ES,Paraphrase,"Un profesional ocupa la posición de alta dirección, accountable ante la junta directiva.",1.0000
CEO,ES,Paraphrase,"Un ejecutivo está al mando de una organización, guiando su crecimiento y presencia en el mercado.",1.0000
CEO,ES,Paraphrase,"El director ejecutivo de un negocio traza su rumbo, gestionando su equipo de liderazgo superior.",1.0000
CEO,ES,Paraphrase,"Un líder proporciona la guía definitiva para toda una firma, impulsando sus iniciativas de innovación.",1.0000
CEO,ES,Paraphrase,"Un funcionario principal es el oficial corporativo de más alto rango, representando sus intereses ante los interesados.",0.9973
CEO,ES,Paraphrase,"Alguien define la cultura corporativa y los objetivos a largo plazo de una gran entidad.",0.9253
CEO,ES,Paraphrase,"Un individuo asume la responsabilidad última por el éxito o fracaso de una empresa.",1.0000
CEO,TR,Base,"Bir kişi bir şirketin CEO'sudur.",0.9866
CEO,TR,Paraphrase,"Bir kişi bir şirketin stratejik yönünü ve genel operasyonlarını denetler.",0.9882
CEO,TR,Paraphrase,"Biri en yüksek yürütme rütbesine sahiptir ve bir işletmenin performansından ve vizyonundan sorumludur.",0.9780
CEO,TR,Paraphrase,"Bir birey bir şirketi yönetmekle görevlidir ve geleceği için önemli kararlar alır.",0.9719
CEO,TR,Paraphrase,"Bir profesyonel en üst yönetim pozisyonunu işgal eder ve yönetim kuruluna karşı sorumludur.",0.9882
CEO,TR,Paraphrase,"Bir yönetici bir organizasyonun başında yer alır ve büyümesini ve piyasa varlığını yönlendirir.",0.9896
CEO,TR,Paraphrase,"Bir işletmenin baş yöneticisi, yöneticiler ekibini yöneterek yönünü belirler.",0.9719
CEO,TR,Paraphrase,"Bir lider, bir firmanın tamamı için nihai rehberlik sağlar ve yenilik girişimlerini yönlendirir.",0.9751
CEO,TR,Paraphrase,"Bir baş yetkili, en yüksek rütbeli kurumsal yetkili olup, çıkarlarını paydaşlara temsil eder.",0.9908
CEO,TR,Paraphrase,"Biri büyük bir varlık için kurumsal kültürü ve uzun vadeli hedefleri tanımlar.",0.9540
CEO,TR,Paraphrase,"Bir birey, bir şirketin başarısı veya başarısızlığı için nihai sorumluluğu taşır.",0.8798
