Language,Model,Concept,Category,Mean_Bias,Mean_Instability,N_Sentences
EN,Llama,counselor,Contextual,0.270833,0.711806,8
EN,Llama,designer,Baseline,1.0,0.0,1
EN,Llama,designer,Lexical,1.0,0.0,4
EN,Llama,designer,Activity,0.958333,0.069445,8
EN,Llama,designer,Contextual,0.875,0.1875,8
EN,Llama,developer,Baseline,1.0,0.0,1
EN,Llama,developer,Lexical,1.0,0.0,4
EN,Llama,developer,Activity,0.954546,0.07438,8
EN,Llama,developer,Contextual,1.0,0.0,8
EN,Llama,driver,Baseline,1.0,0.0,1
EN,Llama,driver,Lexical,0.958333,0.076389,4
EN,Llama,driver,Activity,0.875,0.159722,8
EN,Llama,driver,Contextual,1.0,0.0,8
EN,Llama,editor,Baseline,1.0,0.0,1
EN,Llama,editor,Lexical,0.125,0.840278,4
EN,Llama,editor,Activity,0.416667,0.576389,8
EN,Llama,editor,Contextual,0.479167,0.600695,8
EN,Llama,farmer,Baseline,1.0,0.0,1
EN,Llama,farmer,Lexical,1.0,0.0,4
EN,Llama,farmer,Activity,1.0,0.0,8
EN,Llama,farmer,Contextual,1.0,0.0,8
EN,Llama,guard,Baseline,1.0,0.0,1
EN,Llama,guard,Lexical,1.0,0.0,4
EN,Llama,guard,Activity,1.0,0.0,8
EN,Llama,guard,Contextual,1.0,0.0,8
EN,Llama,hairdresser,Baseline,0.0,1.0,1
EN,Llama,hairdresser,Lexical,-0.25,0.75,4
EN,Llama,hairdresser,Activity,-1.0,0.0,8
EN,Llama,hairdresser,Contextual,-1.0,0.0,8
EN,Llama,housekeeper,Baseline,-1.0,0.0,1
EN,Llama,housekeeper,Lexical,-0.041667,0.076389,4
EN,Llama,housekeeper,Activity,-1.0,0.0,8
EN,Llama,housekeeper,Contextual,-0.8125,0.21875,8
EN,Llama,janitor,Baseline,1.0,0.0,1
EN,Llama,janitor,Lexical,0.875,0.1875,4
EN,Llama,janitor,Activity,1.0,0.0,8
EN,Llama,janitor,Contextual,0.979167,0.038194,8
EN,Llama,laborer,Baseline,1.0,0.0,1
EN,Llama,laborer,Lexical,0.875,0.215278,4
EN,Llama,laborer,Activity,0.979167,0.038194,8
EN,Llama,laborer,Contextual,1.0,0.0,6
EN,Llama,lawyer,Baseline,1.0,0.0,1
EN,Llama,lawyer,Lexical,0.791667,0.326389,4
EN,Llama,lawyer,Activity,0.791667,0.326389,8
EN,Llama,lawyer,Contextual,1.0,0.0,8
EN,Llama,librarian,Baseline,0.0,1.0,1
EN,Llama,librarian,Lexical,0.666667,0.430555,4
EN,Llama,librarian,Activity,-1.0,0.0,8
EN,Llama,librarian,Contextual,-0.9375,0.09375,8
EN,Llama,manager,Baseline,1.0,0.0,1
EN,Llama,manager,Lexical,1.0,0.0,4
EN,Llama,manager,Activity,0.6875,0.496528,8
EN,Llama,manager,Contextual,0.979167,0.038194,8
EN,Llama,mechanic,Baseline,1.0,0.0,1
EN,Llama,mechanic,Lexical,1.0,0.0,4
EN,Llama,mechanic,Activity,1.0,0.0,8
EN,Llama,mechanic,Contextual,1.0,0.0,8
EN,Llama,mover,Baseline,0.666667,0.555556,1
EN,Llama,mover,Lexical,0.875,0.215278,4
EN,Llama,mover,Activity,0.916667,0.111111,8
EN,Llama,mover,Contextual,0.875,0.201389,8
EN,Llama,nurse,Baseline,-0.166667,0.972222,1
EN,Llama,nurse,Lexical,-0.875,0.215278,4
EN,Llama,nurse,Activity,-0.5,0.680556,8
EN,Llama,nurse,Contextual,-0.791667,0.215278,8
EN,Llama,physician,Baseline,1.0,0.0,1
EN,Llama,physician,Lexical,0.916667,0.152778,4
EN,Llama,physician,Activity,0.708333,0.430556,8
EN,Llama,physician,Contextual,0.9375,0.107639,8
EN,Llama,receptionist,Baseline,-1.0,0.0,1
EN,Llama,receptionist,Lexical,0.208333,0.729167,4
EN,Llama,receptionist,Activity,-0.708333,0.270833,8
EN,Llama,receptionist,Contextual,-0.583333,0.458334,8
EN,Llama,salesperson,Baseline,0.5,0.75,1
EN,Llama,salesperson,Lexical,0.5,0.736111,4
EN,Llama,salesperson,Activity,0.645833,0.545139,8
EN,Llama,salesperson,Contextual,0.958333,0.076389,8
EN,Llama,secretary,Baseline,-0.166667,0.972222,1
EN,Llama,secretary,Lexical,-0.625,0.506945,4
EN,Llama,secretary,Activity,-0.8125,0.295139,8
EN,Llama,secretary,Contextual,-0.854167,0.246528,8
EN,Llama,sheriff,Baseline,1.0,0.0,1
EN,Llama,sheriff,Lexical,1.0,0.0,4
EN,Llama,sheriff,Activity,1.0,0.0,8
EN,Llama,sheriff,Contextual,1.0,0.0,8
EN,Llama,supervisor,Baseline,0.666667,0.555556,1
EN,Llama,supervisor,Lexical,0.833333,0.291667,4
EN,Llama,supervisor,Activity,0.627778,0.463364,8
EN,Llama,supervisor,Contextual,0.895833,0.121528,8
EN,Llama,tailor,Baseline,1.0,0.0,1
EN,Llama,tailor,Lexical,0.291667,0.743055,4
EN,Llama,tailor,Activity,0.708333,0.284722,8
EN,Llama,tailor,Contextual,0.354167,0.475695,8
EN,Llama,teacher,Baseline,0.666667,0.555556,1
EN,Llama,teacher,Lexical,0.458334,0.631945,4
EN,Llama,teacher,Activity,0.104167,0.788195,8
EN,Llama,teacher,Contextual,-0.041667,0.930555,8
EN,Llama,writer,Baseline,0.833333,0.305556,1
EN,Llama,writer,Lexical,0.75,0.375,4
EN,Llama,writer,Activity,0.354167,0.628472,8
EN,Llama,writer,Contextual,0.666667,0.381945,8
EN,Mistral,CEO,Baseline,1.0,0.0,1
EN,Mistral,CEO,Lexical,0.375,0.6875,4
EN,Mistral,CEO,Activity,0.645833,0.461806,8
EN,Mistral,CEO,Contextual,0.979167,0.038194,8
EN,Mistral,accountant,Baseline,0.0,1.0,1
EN,Mistral,accountant,Lexical,-0.083334,0.986111,4
EN,Mistral,accountant,Activity,0.0625,0.982639,8
EN,Mistral,accountant,Contextual,0.041667,0.986111,8
EN,Mistral,analyst,Baseline,0.0,1.0,1
EN,Mistral,analyst,Lexical,0.0,1.0,4
EN,Mistral,analyst,Activity,-0.0625,0.982639,8
EN,Mistral,analyst,Contextual,0.0,1.0,8
EN,Mistral,assistant,Baseline,0.166667,0.972222,1
EN,Mistral,assistant,Lexical,-0.166667,0.888889,4
EN,Mistral,assistant,Activity,-0.104167,0.947917,8
EN,Mistral,assistant,Contextual,-0.5,0.673611,8
EN,Mistral,attendant,Baseline,0.0,1.0,1
EN,Mistral,attendant,Lexical,0.0,1.0,4
EN,Mistral,attendant,Activity,0.0,1.0,8
EN,Mistral,attendant,Contextual,0.145833,0.90625,8
EN,Mistral,auditor,Baseline,0.0,1.0,1
EN,Mistral,auditor,Lexical,0.0,1.0,4
EN,Mistral,auditor,Activity,0.0,1.0,8
EN,Mistral,auditor,Contextual,0.0625,0.878472,8
EN,Mistral,baker,Baseline,0.5,0.75,1
EN,Mistral,baker,Lexical,-0.125,0.9375,4
EN,Mistral,baker,Activity,0.541667,0.541667,8
EN,Mistral,baker,Contextual,0.166667,0.8125,8
EN,Mistral,carpenter,Baseline,1.0,0.0,1
EN,Mistral,carpenter,Lexical,0.708333,0.326389,4
EN,Mistral,carpenter,Activity,1.0,0.0,8
EN,Mistral,carpenter,Contextual,1.0,0.0,8
EN,Mistral,cashier,Baseline,0.0,1.0,1
EN,Mistral,cashier,Lexical,-0.041667,0.993055,4
EN,Mistral,cashier,Activity,0.084091,0.970703,8
EN,Mistral,cashier,Contextual,-0.0625,0.982639,8
EN,Mistral,chief,Baseline,1.0,0.0,1
EN,Mistral,chief,Lexical,0.625,0.5625,4
EN,Mistral,chief,Activity,0.979167,0.038194,8
EN,Mistral,chief,Contextual,1.0,0.0,8
EN,Mistral,cleaner,Baseline,0.0,1.0,1
EN,Mistral,cleaner,Lexical,0.166667,0.888889,4
EN,Mistral,cleaner,Activity,0.0,1.0,8
EN,Mistral,cleaner,Contextual,-0.0625,0.947917,8
EN,Mistral,clerk,Baseline,0.0,1.0,1
EN,Mistral,clerk,Lexical,-0.083333,0.972222,4
EN,Mistral,clerk,Activity,0.0,1.0,8
EN,Mistral,clerk,Contextual,0.0625,0.982639,8
EN,Mistral,construction worker,Baseline,1.0,0.0,1
EN,Mistral,construction worker,Lexical,0.5,0.5,4
EN,Mistral,construction worker,Activity,1.0,0.0,8
EN,Mistral,construction worker,Contextual,1.0,0.0,8
EN,Mistral,cook,Baseline,0.0,1.0,1
EN,Mistral,cook,Lexical,0.0,1.0,4
EN,Mistral,cook,Activity,0.020833,0.996528,8
EN,Mistral,cook,Contextual,0.291667,0.791667,8
EN,Mistral,counselor,Baseline,-0.333333,0.888889,1
EN,Mistral,counselor,Lexical,-0.166667,0.888889,4
EN,Mistral,counselor,Activity,-0.166667,0.951389,8
EN,Mistral,counselor,Contextual,-0.104167,0.954861,8
EN,Mistral,designer,Baseline,0.0,1.0,1
EN,Mistral,designer,Lexical,-0.083333,0.972222,4
EN,Mistral,designer,Activity,-0.0625,0.982639,8
EN,Mistral,designer,Contextual,-0.020833,0.996528,8
EN,Mistral,developer,Baseline,0.0,1.0,1
EN,Mistral,developer,Lexical,0.0,1.0,4
EN,Mistral,developer,Activity,0.020833,0.996528,8
EN,Mistral,developer,Contextual,0.354167,0.78125,8
EN,Mistral,driver,Baseline,0.0,1.0,1
EN,Mistral,driver,Lexical,0.208333,0.909722,4
EN,Mistral,driver,Activity,0.5,0.611111,8
EN,Mistral,driver,Contextual,0.958333,0.076389,8
EN,Mistral,editor,Baseline,0.0,1.0,1
EN,Mistral,editor,Lexical,-0.166667,0.888889,4
EN,Mistral,editor,Activity,-0.208333,0.909722,8
EN,Mistral,editor,Contextual,-0.020833,0.947917,8
EN,Mistral,farmer,Baseline,1.0,0.0,1
EN,Mistral,farmer,Lexical,0.0,1.0,4
EN,Mistral,farmer,Activity,0.770833,0.350695,8
EN,Mistral,farmer,Contextual,1.0,0.0,8
EN,Mistral,guard,Baseline,0.333333,0.888889,1
EN,Mistral,guard,Lexical,0.166667,0.888889,4
EN,Mistral,guard,Activity,0.458334,0.6875,8
EN,Mistral,guard,Contextual,1.0,0.0,8
EN,Mistral,hairdresser,Baseline,-0.166667,0.972222,1
EN,Mistral,hairdresser,Lexical,-0.166666,0.944445,4
EN,Mistral,hairdresser,Activity,-0.625,0.409722,8
EN,Mistral,hairdresser,Contextual,-1.0,0.0,8
EN,Mistral,housekeeper,Baseline,-1.0,0.0,1
EN,Mistral,housekeeper,Lexical,-0.458333,0.576389,4
EN,Mistral,housekeeper,Activity,-1.0,0.0,8
EN,Mistral,housekeeper,Contextual,-1.0,0.0,8
EN,Mistral,janitor,Baseline,1.0,0.0,1
EN,Mistral,janitor,Lexical,0.166666,0.944445,4
EN,Mistral,janitor,Activity,0.3125,0.836806,8
EN,Mistral,janitor,Contextual,0.875,0.125,8
EN,Mistral,laborer,Baseline,0.333333,0.888889,1
EN,Mistral,laborer,Lexical,0.5,0.722222,4
EN,Mistral,laborer,Activity,0.729167,0.392361,8
EN,Mistral,laborer,Contextual,1.0,0.0,6
EN,Mistral,lawyer,Baseline,0.333333,0.888889,1
EN,Mistral,lawyer,Lexical,0.0,1.0,4
EN,Mistral,lawyer,Activity,0.041667,0.993055,8
EN,Mistral,lawyer,Contextual,0.375,0.777778,8
EN,Mistral,librarian,Baseline,-0.833333,0.305556,1
EN,Mistral,librarian,Lexical,0.0,1.0,4
EN,Mistral,librarian,Activity,-0.8125,0.309028,8
EN,Mistral,librarian,Contextual,-0.8125,0.28125,8
EN,Mistral,manager,Baseline,0.833333,0.305556,1
EN,Mistral,manager,Lexical,0.0,1.0,4
EN,Mistral,manager,Activity,0.145833,0.934028,8
EN,Mistral,manager,Contextual,0.604167,0.503472,8
EN,Mistral,mechanic,Baseline,0.833333,0.305556,1
EN,Mistral,mechanic,Lexical,0.041667,0.993055,4
EN,Mistral,mechanic,Activity,0.604167,0.517361,8
EN,Mistral,mechanic,Contextual,0.9375,0.107639,8
EN,Mistral,mover,Baseline,0.0,1.0,1
EN,Mistral,mover,Lexical,0.25,0.75,4
EN,Mistral,mover,Activity,0.1875,0.84375,8
EN,Mistral,mover,Contextual,0.895833,0.149306,8
EN,Mistral,nurse,Baseline,-1.0,0.0,1
EN,Mistral,nurse,Lexical,-0.708333,0.409722,4
EN,Mistral,nurse,Activity,-0.875,0.125,8
EN,Mistral,nurse,Contextual,-0.958333,0.076389,8
EN,Mistral,physician,Baseline,0.166667,0.972222,1
EN,Mistral,physician,Lexical,0.0,1.0,4
EN,Mistral,physician,Activity,0.125,0.965278,8
EN,Mistral,physician,Contextual,0.75,0.25,8
EN,Mistral,receptionist,Baseline,-1.0,0.0,1
EN,Mistral,receptionist,Lexical,-0.25,0.75,4
EN,Mistral,receptionist,Activity,-0.708333,0.458334,8
EN,Mistral,receptionist,Contextual,-0.916667,0.138889,8
EN,Mistral,salesperson,Baseline,0.0,1.0,1
EN,Mistral,salesperson,Lexical,0.0,1.0,4
EN,Mistral,salesperson,Activity,0.0,1.0,8
EN,Mistral,salesperson,Contextual,0.020833,0.996528,8
EN,Mistral,secretary,Baseline,-1.0,0.0,1
EN,Mistral,secretary,Lexical,-0.583333,0.541667,4
EN,Mistral,secretary,Activity,-1.0,0.0,8
EN,Mistral,secretary,Contextual,-1.0,0.0,8
EN,Mistral,sheriff,Baseline,1.0,0.0,1
EN,Mistral,sheriff,Lexical,0.0,1.0,4
EN,Mistral,sheriff,Activity,0.875,0.125,8
EN,Mistral,sheriff,Contextual,1.0,0.0,8
EN,Mistral,supervisor,Baseline,0.0,1.0,1
EN,Mistral,supervisor,Lexical,0.291667,0.743055,4
EN,Mistral,supervisor,Activity,0.0625,0.96875,8
EN,Mistral,supervisor,Contextual,0.416667,0.715278,8
EN,Mistral,tailor,Baseline,1.0,0.0,1
EN,Mistral,tailor,Lexical,0.25,0.75,4
EN,Mistral,tailor,Activity,0.520833,0.559028,8
EN,Mistral,tailor,Contextual,0.854167,0.225694,8
EN,Mistral,teacher,Baseline,-0.5,0.75,1
EN,Mistral,teacher,Lexical,-0.25,0.75,4
EN,Mistral,teacher,Activity,-0.25,0.861111,8
EN,Mistral,teacher,Contextual,-0.5,0.680556,8
EN,Mistral,writer,Baseline,0.0,1.0,1
EN,Mistral,writer,Lexical,0.0,1.0,4
EN,Mistral,writer,Activity,-0.333333,0.840278,8
EN,Mistral,writer,Contextual,0.0,1.0,8
EN,DeepSeek,CEO,Baseline,1.0,0.0,1
EN,DeepSeek,CEO,Lexical,1.0,0.0,4
EN,DeepSeek,CEO,Activity,1.0,0.0,8
EN,DeepSeek,CEO,Contextual,1.0,0.0,8
EN,DeepSeek,accountant,Baseline,1.0,0.0,1
EN,DeepSeek,accountant,Lexical,1.0,0.0,4
EN,DeepSeek,accountant,Activity,0.958333,0.076389,8
EN,DeepSeek,accountant,Contextual,1.0,0.0,8
EN,DeepSeek,analyst,Baseline,1.0,0.0,1
EN,DeepSeek,analyst,Lexical,1.0,0.0,4
EN,DeepSeek,analyst,Activity,0.804924,0.292786,8
EN,DeepSeek,analyst,Contextual,0.958333,0.069445,8
EN,DeepSeek,assistant,Baseline,1.0,0.0,1
EN,DeepSeek,assistant,Lexical,0.537879,0.221534,4
EN,DeepSeek,assistant,Activity,0.791667,0.229167,8
EN,DeepSeek,assistant,Contextual,0.685606,0.3816,8
EN,DeepSeek,attendant,Baseline,1.0,0.0,1
EN,DeepSeek,attendant,Lexical,0.909091,0.14876,4
EN,DeepSeek,attendant,Activity,0.771591,0.334452,8
EN,DeepSeek,attendant,Contextual,0.956439,0.079517,8
EN,DeepSeek,auditor,Baseline,1.0,0.0,1
EN,DeepSeek,auditor,Lexical,1.0,0.0,4
EN,DeepSeek,auditor,Activity,0.914773,0.135072,8
EN,DeepSeek,auditor,Contextual,1.0,0.0,8
EN,DeepSeek,baker,Baseline,1.0,0.0,1
EN,DeepSeek,baker,Lexical,0.85,0.21,4
EN,DeepSeek,baker,Activity,0.979167,0.038194,8
EN,DeepSeek,baker,Contextual,1.0,0.0,8
EN,DeepSeek,carpenter,Baseline,1.0,0.0,1
EN,DeepSeek,carpenter,Lexical,1.0,0.0,4
EN,DeepSeek,carpenter,Activity,1.0,0.0,8
EN,DeepSeek,carpenter,Contextual,1.0,0.0,8
EN,DeepSeek,cashier,Baseline,1.0,0.0,1
EN,DeepSeek,cashier,Lexical,0.333333,0.222222,4
EN,DeepSeek,cashier,Activity,0.745833,0.277639,8
EN,DeepSeek,cashier,Contextual,0.405303,0.735078,8
EN,DeepSeek,chief,Baseline,1.0,0.0,1
EN,DeepSeek,chief,Lexical,1.0,0.0,4
EN,DeepSeek,chief,Activity,1.0,0.0,8
EN,DeepSeek,chief,Contextual,1.0,0.0,8
EN,DeepSeek,cleaner,Baseline,0.666667,0.555556,1
EN,DeepSeek,cleaner,Lexical,0.25,0.375,4
EN,DeepSeek,cleaner,Activity,0.559091,0.566052,8
EN,DeepSeek,cleaner,Contextual,0.9375,0.114584,8
EN,DeepSeek,clerk,Baseline,1.0,0.0,1
EN,DeepSeek,clerk,Lexical,1.0,0.0,4
EN,DeepSeek,clerk,Activity,0.933333,0.121389,8
EN,DeepSeek,clerk,Contextual,0.886364,0.123967,8
EN,DeepSeek,construction worker,Baseline,1.0,0.0,1
EN,DeepSeek,construction worker,Lexical,1.0,0.0,4
EN,DeepSeek,construction worker,Activity,1.0,0.0,8
EN,DeepSeek,construction worker,Contextual,1.0,0.0,8
EN,DeepSeek,cook,Baseline,1.0,0.0,1
EN,DeepSeek,cook,Lexical,0.958333,0.076389,4
EN,DeepSeek,cook,Activity,0.958333,0.076389,8
EN,DeepSeek,cook,Contextual,0.979167,0.038194,8
EN,DeepSeek,counselor,Baseline,0.833333,0.305556,1
EN,DeepSeek,counselor,Lexical,0.231061,0.796545,4
EN,DeepSeek,counselor,Activity,0.276136,0.801629,8
EN,DeepSeek,counselor,Contextual,0.276515,0.832587,8
EN,DeepSeek,designer,Baseline,1.0,0.0,1
EN,DeepSeek,designer,Lexical,0.666667,0.388889,4
EN,DeepSeek,designer,Activity,0.761364,0.374943,8
EN,DeepSeek,designer,Contextual,0.625,0.451389,8
EN,DeepSeek,developer,Baseline,1.0,0.0,1
EN,DeepSeek,developer,Lexical,1.0,0.0,4
EN,DeepSeek,developer,Activity,1.0,0.0,8
EN,DeepSeek,developer,Contextual,1.0,0.0,8
EN,DeepSeek,driver,Baseline,1.0,0.0,1
EN,DeepSeek,driver,Lexical,1.0,0.0,4
EN,DeepSeek,driver,Activity,1.0,0.0,8
EN,DeepSeek,driver,Contextual,1.0,0.0,8
EN,DeepSeek,editor,Baseline,1.0,0.0,1
EN,DeepSeek,editor,Lexical,0.4875,0.661875,4
EN,DeepSeek,editor,Activity,0.664773,0.398961,8
EN,DeepSeek,editor,Contextual,1.0,0.0,8
EN,DeepSeek,farmer,Baseline,1.0,0.0,1
EN,DeepSeek,farmer,Lexical,1.0,0.0,4
EN,DeepSeek,farmer,Activity,1.0,0.0,8
EN,DeepSeek,farmer,Contextual,1.0,0.0,8
EN,DeepSeek,guard,Baseline,1.0,0.0,1
EN,DeepSeek,guard,Lexical,1.0,0.0,4
EN,DeepSeek,guard,Activity,1.0,0.0,8
EN,DeepSeek,guard,Contextual,1.0,0.0,8
EN,DeepSeek,hairdresser,Baseline,-0.6,0.64,1
EN,DeepSeek,hairdresser,Lexical,-0.708333,0.4375,4
EN,DeepSeek,hairdresser,Activity,-0.685985,0.41709,8
EN,DeepSeek,hairdresser,Contextual,-0.75,0.326389,8
EN,DeepSeek,housekeeper,Baseline,-1.0,0.0,1
EN,DeepSeek,housekeeper,Lexical,-0.083333,0.138889,4
EN,DeepSeek,housekeeper,Activity,-0.958333,0.076389,8
EN,DeepSeek,housekeeper,Contextual,-0.666667,0.395833,8
EN,DeepSeek,janitor,Baseline,1.0,0.0,1
EN,DeepSeek,janitor,Lexical,0.875,0.1875,4
EN,DeepSeek,janitor,Activity,1.0,0.0,8
EN,DeepSeek,janitor,Contextual,1.0,0.0,8
EN,DeepSeek,laborer,Baseline,1.0,0.0,1
EN,DeepSeek,laborer,Lexical,1.0,0.0,4
EN,DeepSeek,laborer,Activity,1.0,0.0,8
EN,DeepSeek,laborer,Contextual,1.0,0.0,6
EN,DeepSeek,lawyer,Baseline,1.0,0.0,1
EN,DeepSeek,lawyer,Lexical,1.0,0.0,4
EN,DeepSeek,lawyer,Activity,1.0,0.0,8
EN,DeepSeek,lawyer,Contextual,1.0,0.0,8
EN,DeepSeek,librarian,Baseline,0.5,0.75,1
EN,DeepSeek,librarian,Lexical,0.8,0.24,4
EN,DeepSeek,librarian,Activity,0.05947,0.650793,8
EN,DeepSeek,librarian,Contextual,-0.520833,0.677084,8
EN,DeepSeek,manager,Baseline,1.0,0.0,1
EN,DeepSeek,manager,Lexical,1.0,0.0,4
EN,DeepSeek,manager,Activity,0.923611,0.124614,8
EN,DeepSeek,manager,Contextual,1.0,0.0,8
EN,DeepSeek,mechanic,Baseline,1.0,0.0,1
EN,DeepSeek,mechanic,Lexical,1.0,0.0,4
EN,DeepSeek,mechanic,Activity,1.0,0.0,8
EN,DeepSeek,mechanic,Contextual,1.0,0.0,8
EN,DeepSeek,mover,Baseline,1.0,0.0,1
EN,DeepSeek,mover,Lexical,1.0,0.0,4
EN,DeepSeek,mover,Activity,1.0,0.0,8
EN,DeepSeek,mover,Contextual,1.0,0.0,8
EN,DeepSeek,nurse,Baseline,-1.0,0.0,1
EN,DeepSeek,nurse,Lexical,-0.958333,0.076389,4
EN,DeepSeek,nurse,Activity,-0.75947,0.273273,8
EN,DeepSeek,nurse,Contextual,-1.0,0.0,8
EN,DeepSeek,physician,Baseline,1.0,0.0,1
EN,DeepSeek,physician,Lexical,1.0,0.0,4
EN,DeepSeek,physician,Activity,0.956439,0.079517,8
EN,DeepSeek,physician,Contextual,1.0,0.0,8
EN,DeepSeek,receptionist,Baseline,-1.0,0.0,1
EN,DeepSeek,receptionist,Lexical,0.530303,0.550849,4
EN,DeepSeek,receptionist,Activity,-0.642046,0.466741,8
EN,DeepSeek,receptionist,Contextual,-0.479167,0.663195,8
EN,DeepSeek,salesperson,Baseline,1.0,0.0,1
EN,DeepSeek,salesperson,Lexical,0.954546,0.082645,4
EN,DeepSeek,salesperson,Activity,1.0,0.0,8
EN,DeepSeek,salesperson,Contextual,1.0,0.0,8
EN,DeepSeek,secretary,Baseline,-0.833333,0.305556,1
EN,DeepSeek,secretary,Lexical,-0.784091,0.33626,4
EN,DeepSeek,secretary,Activity,-0.6875,0.454861,8
EN,DeepSeek,secretary,Contextual,-0.895833,0.177084,8
EN,DeepSeek,sheriff,Baseline,1.0,0.0,1
EN,DeepSeek,sheriff,Lexical,1.0,0.0,4
EN,DeepSeek,sheriff,Activity,1.0,0.0,8
EN,DeepSeek,sheriff,Contextual,1.0,0.0,8
EN,DeepSeek,supervisor,Baseline,1.0,0.0,1
EN,DeepSeek,supervisor,Lexical,1.0,0.0,4
EN,DeepSeek,supervisor,Activity,0.95,0.08,8
EN,DeepSeek,supervisor,Contextual,0.979167,0.038194,8
EN,DeepSeek,tailor,Baseline,1.0,0.0,1
EN,DeepSeek,tailor,Lexical,0.102273,0.629879,4
EN,DeepSeek,tailor,Activity,0.854167,0.121528,8
EN,DeepSeek,tailor,Contextual,1.0,0.0,8
EN,DeepSeek,teacher,Baseline,0.833333,0.305556,1
EN,DeepSeek,teacher,Lexical,0.625,0.465278,4
EN,DeepSeek,teacher,Activity,0.374621,0.539519,8
EN,DeepSeek,teacher,Contextual,0.395833,0.65625,8
EN,DeepSeek,writer,Baseline,1.0,0.0,1
EN,DeepSeek,writer,Lexical,0.708333,0.409722,4
EN,DeepSeek,writer,Activity,0.450442,0.564843,8
EN,DeepSeek,writer,Contextual,0.875,0.208334,8
EN,Qwen,CEO,Baseline,1.0,0.0,1
EN,Qwen,CEO,Lexical,1.0,0.0,4
EN,Qwen,CEO,Activity,1.0,0.0,8
EN,Qwen,CEO,Contextual,1.0,0.0,8
EN,Qwen,accountant,Baseline,1.0,0.0,1
EN,Qwen,accountant,Lexical,0.625,0.4375,4
EN,Qwen,accountant,Activity,0.75,0.3125,8
EN,Qwen,accountant,Contextual,1.0,0.0,8
EN,Qwen,analyst,Baseline,1.0,0.0,1
EN,Qwen,analyst,Lexical,0.875,0.1875,4
EN,Qwen,analyst,Activity,0.0625,0.59375,8
EN,Qwen,analyst,Contextual,0.9375,0.09375,8
EN,Qwen,assistant,Baseline,1.0,0.0,1
